from,to,score
ACTG2,MYH10,0.941
ACTG2,MYH11,0.993
ACTG2,MYH14,0.907
ACTG2,MYL9,0.974
ACTG2,MYLK,0.856
ACTG2,TAGLN,0.82
ACTG2,TPM1,0.786
ACTG2,TPM2,0.835
ACTN1,CFL2,0.9
ACTN1,DBN1,0.702
ACTN1,FLNA,0.716
ACTN1,ITGA1,0.747
ACTN1,ITGA4,0.701
ACTN1,ITGA5,0.965
ACTN1,ITGA7,0.71
ACTN1,ITGA8,0.731
ACTN1,SDC4,0.728
ACTN1,TPM1,0.887
ACTN1,SSX2IP,0.937
ACVRL1,BMP2,0.916
ACVRL1,BMP4,0.908
ACVRL1,CDH5,0.717
ACVRL1,ENG,0.999
ACVRL1,SMAD9,0.91
ACVRL1,TGFB3,0.966
ACVRL1,TGFBR2,0.992
ADA,ADA2,0.992
ADA,ADARB1,0.833
ADA,AMPD3,0.916
ADA,DPP4,0.999
ADA,EPHX2,0.85
ADA,FAP,0.891
ADA,GDA,0.737
ADA,NT5E,0.984
ADA,PKIA,0.719
ADA,XDH,0.761
ADA2,EPHX2,0.844
ADA2,NT5E,0.96
ADAMTS1,AREG,0.722
ADAMTS1,CCN1,0.752
ADAMTS2,CCBE1,0.852
ADAMTS2,COL1A1,0.936
ADAMTS2,COL1A2,0.946
ADAMTS2,COL3A1,0.891
ADAMTS2,COL5A1,0.826
ADAMTS2,EFEMP2,0.837
ADAMTS2,FBLN5,0.789
ADAMTS2,FBN1,0.736
ADAMTS2,LOX,0.75
ADAMTS5,MMP3,0.89
ADAMTS5,RUNX2,0.741
ADAMTS5,SDC4,0.933
ADAMTS5,TIMP1,0.731
ADAMTS5,TIMP3,0.888
ADARB1,BMP7,0.871
ADCY2,AK9,0.713
ADCY2,AKT3,0.716
ADCY2,CALML5,0.737
ADCY2,CNR1,0.909
ADCY2,GCH1,0.8
ADCY2,GNB4,0.728
ADCY2,GNB5,0.714
ADCY2,GNG2,0.811
ADCY2,MOCS1,0.811
ADCY2,PDE2A,0.72
ADCY2,PDE3A,0.768
ADCY2,PDE4B,0.773
ADCY2,PDE5A,0.728
ADCY2,PRKACB,0.781
ADCY2,PRKCA,0.713
ADCY2,RAPGEF4,0.928
ADCY2,PDE1C,0.703
ADCY2,PDE7A,0.741
ADCY3,ADCY9,0.933
ADCY3,AK9,0.741
ADCY3,CALML5,0.942
ADCY3,CNR1,0.906
ADCY3,GCH1,0.8
ADCY3,GNB5,0.701
ADCY3,MOCS1,0.811
ADCY3,PDE1A,0.71
ADCY3,PDE2A,0.798
ADCY3,PDE3A,0.809
ADCY3,PDE4B,0.863
ADCY3,PDE5A,0.853
ADCY3,PRKACB,0.947
ADCY3,RAPGEF4,0.933
ADCY3,PDE1C,0.8
ADCY3,PDE7A,0.754
ADCY4,ADCY7,0.78
ADCY4,ADCY9,0.717
ADCY4,AK9,0.715
ADCY4,CALML5,0.772
ADCY4,CNR1,0.907
ADCY4,GCH1,0.8
ADCY4,GNB5,0.735
ADCY4,GNG11,0.755
ADCY4,GNG2,0.723
ADCY4,MOCS1,0.812
ADCY4,PDE1A,0.713
ADCY4,PDE2A,0.798
ADCY4,PDE3A,0.766
ADCY4,PDE4B,0.773
ADCY4,PDE5A,0.739
ADCY4,PRKACB,0.794
ADCY4,RAPGEF4,0.956
ADCY4,PDE1C,0.715
ADCY4,PDE7A,0.766
ADCY7,ADCY9,0.749
ADCY7,AK9,0.738
ADCY7,CALML5,0.83
ADCY7,CNR1,0.907
ADCY7,GCH1,0.8
ADCY7,GNB4,0.753
ADCY7,MOCS1,0.811
ADCY7,PDE1A,0.713
ADCY7,PDE2A,0.762
ADCY7,PDE3A,0.81
ADCY7,PDE4B,0.841
ADCY7,PDE5A,0.759
ADCY7,PRKACB,0.8
ADCY7,PRKAR2B,0.719
ADCY7,PRKCA,0.707
ADCY7,RAPGEF4,0.954
ADCY7,PDE1C,0.722
ADCY7,PDE7A,0.792
ADCY9,ADRB2,0.751
ADCY9,AK9,0.733
ADCY9,CALML5,0.785
ADCY9,CNR1,0.9
ADCY9,ENPP1,0.7
ADCY9,GCH1,0.8
ADCY9,GNB4,0.743
ADCY9,GNB5,0.716
ADCY9,GNG2,0.719
ADCY9,MOCS1,0.813
ADCY9,PDE2A,0.75
ADCY9,PDE3A,0.777
ADCY9,PDE4B,0.789
ADCY9,PDE5A,0.762
ADCY9,PRKACB,0.952
ADCY9,PRKAR2B,0.755
ADCY9,PRKCA,0.73
ADCY9,RAPGEF4,0.94
ADCY9,PDE1C,0.723
ADCY9,PDE7A,0.788
ADD3,ANK2,0.986
ADD3,CALML5,0.913
ADD3,TMOD3,0.939
ADD3,GYPC,0.886
ADD3,ANKRD29,0.78
ADGRA2,FZD4,0.802
ADGRA2,LRRK2,0.739
ADGRA2,RECK,0.735
ADGRA2,WNT3,0.756
ADGRA2,WNT7A,0.747
ADGRD1,GNG2,0.822
ADGRD1,NPR3,0.711
ADGRD1,RPGR,0.716
ADGRE5,CD59,0.778
ADGRE5,GNA12,0.811
ADGRE5,LPAR1,0.973
ADGRE5,THY1,0.751
ADGRF1,GNG2,0.817
ADGRL4,EMCN,0.782
ADH1B,ADH1C,0.986
ADH1B,ALDH1A1,0.949
ADH1B,ALDH1A3,0.824
ADH1B,ALDH3A1,0.857
ADH1B,AOX1,0.952
ADH1B,BCO1,0.915
ADH1B,CYP26A1,0.921
ADH1B,CYP27C1,0.903
ADH1B,GSTM3,0.721
ADH1B,MAOB,0.934
ADH1B,ESD,0.864
ADH1B,MGST1,0.701
ADH1B,UGT2B15,0.717
ADH1C,ADH7,0.72
ADH1C,ALDH1A1,0.921
ADH1C,ALDH1A3,0.829
ADH1C,ALDH3A1,0.866
ADH1C,AOX1,0.932
ADH1C,BCO1,0.912
ADH1C,CYP26A1,0.926
ADH1C,CYP27C1,0.903
ADH1C,GSTM3,0.708
ADH1C,MAOB,0.931
ADH1C,ESD,0.863
ADH1C,MGST1,0.719
ADH1C,UGT2B15,0.752
ADH5,ALDH1A1,0.902
ADH5,ALDH1A3,0.811
ADH5,ALDH3A1,0.86
ADH5,AOX1,0.938
ADH5,BCO1,0.909
ADH5,CYP26A1,0.953
ADH5,CYP27C1,0.903
ADH5,GSTM3,0.716
ADH5,MAOB,0.923
ADH5,ESD,0.998
ADH5,MGST1,0.71
ADH7,ALDH1A1,0.929
ADH7,ALDH1A3,0.851
ADH7,ALDH3A1,0.918
ADH7,AOX1,0.93
ADH7,BCO1,0.917
ADH7,CYP26A1,0.936
ADH7,CYP27C1,0.903
ADH7,GSTM3,0.724
ADH7,MAOB,0.918
ADH7,ESD,0.838
ADH7,UGT2B15,0.713
ADIRF,PPARG,0.789
ADRA2A,GNA12,0.924
ADRA2A,GNG2,0.932
ADRA2A,SLC6A4,0.716
ADRB1,ADRB2,0.956
ADRB1,CAMK2D,0.77
ADRB1,MAGI2,0.799
ADRB1,GRK5,0.752
ADRB2,AGTR1,0.873
ADRB2,AKAP12,0.983
ADRB2,CXCR4,0.826
ADRB2,PRKACB,0.819
ADRB2,RAPGEF4,0.753
ADRB2,GRK5,0.91
ADRB2,GPRASP1,0.762
ADRB2,GRK3,0.825
AFDN,BCL2,0.767
AFDN,C7,0.72
AFDN,CDH5,0.826
AFDN,EPHB3,0.756
AFDN,F11R,0.997
AFDN,LMO2,0.867
AFDN,MARVELD2,0.82
AFDN,MRAS,0.97
AFDN,NECTIN3,0.999
AFDN,OCLN,0.973
AFDN,PVR,0.763
AFDN,RRAS,0.957
AFDN,SSX2IP,0.986
AFDN,NECTIN4,0.997
AGL,ENPP1,0.92
AGL,GYG1,0.931
AGL,RBKS,0.72
AGPAT4,CDS1,0.93
AGPAT4,DGKB,0.718
AGPAT4,GPD1L,0.864
AGPAT4,LPIN1,0.809
AGPAT4,LPIN2,0.802
AGPAT4,MBOAT2,0.955
AGPAT4,PLPP3,0.854
AGPAT4,PLPP4,0.921
AGTR1,CXCL8,0.782
AGTR1,CYBB,0.73
AGTR1,GNA12,0.954
AGTR1,SERPINE1,0.953
AGTR1,GRK5,0.739
AGTR1,PTGFR,0.783
AHRR,CYP1B1,0.752
AHRR,ARNT2,0.844
AIF1,C1QA,0.847
AIF1,C1QC,0.728
AIF1,CD163,0.735
AIF1,CD68,0.871
AIF1,CD86,0.818
AIF1,CYBB,0.744
AIF1,FCER1G,0.782
AIF1,IL6,0.777
AIF1,ITGAM,0.843
AIF1,ITGB2,0.72
AIF1,MRC1,0.758
AIF1,MS4A6A,0.731
AIF1,P2RY12,0.747
AIF1,PECAM1,0.724
AIF1,PTPRC,0.813
AIF1,PXDN,0.738
AIF1,S100B,0.706
AIF1,TLR4,0.722
AIF1,TYROBP,0.943
AIF1,TMEM119,0.789
AK7,AK9,0.827
AK7,AMPD3,0.712
AK7,ENPP1,0.902
AK9,AMPD3,0.705
AK9,ENPP1,0.914
AK9,GCH1,0.815
AK9,GUCY1A1,0.737
AK9,GUCY1B1,0.742
AK9,MOCS1,0.8
AK9,NPR2,0.713
AKAP12,ANGPT1,0.733
AKAP12,CALML5,0.936
AKAP12,CAVIN1,0.793
AKAP12,HSPA12B,0.774
AKAP12,PRKACB,0.989
AKAP12,PRKCA,0.722
AKAP12,NNMT,0.735
AKR1C3,CYP1B1,0.937
AKR1C3,HSD17B2,0.982
AKR1C3,HSD17B8,0.936
AKR1C3,SRD5A1,0.986
AKR1C3,STS,0.952
AKR1C3,SULT1E1,0.936
AKR1C3,UGT2B15,0.946
AKR1C3,PTGFR,0.728
AKR1C3,UGT2A2,0.917
AKT3,BCL2,0.947
AKT3,CREB5,0.755
AKT3,FOXO3,0.966
AKT3,MAP2K4,0.92
AKT3,MAPK13,0.926
AKT3,NR4A1,0.903
AKT3,PIK3R1,0.977
AKT3,PIK3R3,0.973
ALAD,OAT,0.885
ALCAM,CD24,0.773
ALCAM,ENG,0.88
ALCAM,ICAM1,0.755
ALCAM,L1CAM,0.979
ALCAM,LGALS3,0.761
ALCAM,NT5E,0.868
ALCAM,PECAM1,0.729
ALCAM,PTPRC,0.776
ALCAM,S100B,0.844
ALCAM,THY1,0.881
ALDH1A1,ALDH1A3,0.903
ALDH1A1,AOX1,0.951
ALDH1A1,BCO1,0.946
ALDH1A1,CD24,0.815
ALDH1A1,CYP26A1,0.968
ALDH1A1,CYP26B1,0.964
ALDH1A1,CYP2C18,0.919
ALDH1A1,EPCAM,0.72
ALDH1A1,EPHX2,0.824
ALDH1A1,SOX2,0.771
ALDH1A1,SDR16C5,0.941
ALDH1A3,AOX1,0.952
ALDH1A3,BCO1,0.95
ALDH1A3,CYP26A1,0.974
ALDH1A3,CYP26B1,0.973
ALDH1A3,CYP2C18,0.919
ALDH1A3,EPHX2,0.801
ALDH1A3,SDR16C5,0.952
ALDH1L1,EPHX2,0.799
ALDH1L1,S100B,0.705
ALDH1L1,SHMT1,0.962
ALDH3A1,AOC3,0.928
ALDH3A1,EPHX2,0.801
ALDH3A1,GSTM3,0.726
ALDH3A1,MAOB,0.952
ALDH3A1,MGST1,0.719
ALDH4A1,EPHX2,0.793
ALDH4A1,GGT5,0.815
ALDH4A1,GLS,0.927
ALDH4A1,OAT,0.984
ALDH4A1,IFFO1,0.801
ALDH4A1,L2HGDH,0.863
ALOX5,ALOX5AP,0.998
ALOX5,GPX2,0.939
ALOX5,GPX3,0.94
ALOX5,LOX,0.788
ALOX5,PLA2G2A,0.81
ALOX5,COTL1,0.989
ALOX5,CYSLTR1,0.782
ALOX5,PLA2G4C,0.742
ALOX5,PLA2G5,0.718
ALOX5AP,MGST1,0.894
ALOX5AP,COTL1,0.796
ALOX5AP,CYSLTR1,0.787
AMOTL1,AMOTL2,0.917
AMOTL1,MPDZ,0.977
AMOTL1,SAV1,0.745
AMOTL1,HECW2,0.809
AMOTL2,CCN1,0.759
AMOTL2,CCN2,0.712
AMOTL2,MPDZ,0.953
AMOTL2,SAV1,0.778
AMPD3,ENPP1,0.923
AMPD3,EPHX2,0.843
AMPD3,GMPR,0.958
AMPD3,IMPDH2,0.966
AMPD3,NT5E,0.882
AMPD3,PDE1A,0.7
AMPD3,PDE2A,0.737
AMPD3,PDE4B,0.717
AMPD3,PDE1C,0.7
AMPD3,PDE7A,0.703
ANG,CXCL8,0.767
ANG,FST,0.711
ANG,RNASE2,0.926
ANG,RNASE4,0.988
ANGPT1,ANGPT2,0.92
ANGPT1,CDH5,0.797
ANGPT1,CXCL12,0.704
ANGPT1,CXCR4,0.757
ANGPT1,EFNB2,0.716
ANGPT1,EPHA2,0.715
ANGPT1,FGF2,0.822
ANGPT1,FGF5,0.73
ANGPT1,FGFR1,0.848
ANGPT1,FGFR3,0.732
ANGPT1,FLT1,0.984
ANGPT1,KIT,0.841
ANGPT1,NTRK2,0.719
ANGPT1,PDGFRA,0.815
ANGPT1,PDGFRB,0.916
ANGPT1,PGF,0.7
ANGPT1,PTPRB,0.705
ANGPT1,TEK,0.999
ANGPT1,THBS1,0.716
ANGPT1,TIE1,0.998
ANGPT1,VWF,0.755
ANGPT2,CDH5,0.703
ANGPT2,CXCL8,0.869
ANGPT2,ENG,0.705
ANGPT2,EPHA2,0.724
ANGPT2,FGF2,0.83
ANGPT2,FGFR1,0.855
ANGPT2,FGFR3,0.725
ANGPT2,FLT1,0.983
ANGPT2,IL6,0.75
ANGPT2,KIT,0.806
ANGPT2,PDGFRA,0.864
ANGPT2,PDGFRB,0.851
ANGPT2,PECAM1,0.705
ANGPT2,PGF,0.84
ANGPT2,TEK,0.999
ANGPT2,TIE1,0.994
ANGPT2,VWF,0.903
ANGPT2,VEGFC,0.798
ANGPTL1,TEK,0.866
ANGPTL1,TIE1,0.732
ANGPTL2,TEK,0.87
ANGPTL2,TIE1,0.84
ANK2,ASAP1,0.772
ANK2,CALML5,0.841
ANK2,CD47,0.751
ANK2,L1CAM,0.99
ANK2,NFASC,0.966
ANK2,NRCAM,0.938
ANK2,SCN4B,0.862
ANK2,TMOD3,0.712
ANK2,TRPC1,0.773
ANK2,SPTBN1,0.997
ANK2,TIAM1,0.957
ANKRD6,AXIN2,0.756
ANKRD6,PRICKLE1,0.845
ANKRD6,PRICKLE2,0.854
ANO1,CALD1,0.729
ANO1,CFTR,0.882
ANO1,CLCA2,0.926
ANO1,KIT,0.892
ANO1,PDGFRA,0.805
ANO1,CLCA4,0.946
ANO2,CLCA2,0.973
ANO2,CLCA4,0.984
ANOS1,FGF2,0.781
ANOS1,FGFR1,0.998
ANOS1,STS,0.754
ANPEP,CD36,0.735
ANPEP,DPP4,0.931
ANPEP,ENG,0.863
ANPEP,GGT5,0.946
ANPEP,ITGAM,0.916
ANPEP,KIT,0.921
ANPEP,NT5E,0.785
ANPEP,PTPRC,0.788
ANPEP,RTN4R,0.996
ANPEP,SCARB1,0.729
ANPEP,SCARB2,0.737
ANPEP,SFN,0.96
ANPEP,THY1,0.776
ANPEP,CDO1,0.804
ANPEP,TFRC,0.832
ANTXR1,ANTXR2,0.943
ANTXR1,VWF,0.822
ANTXR2,VWF,0.802
ANXA5,BCL2,0.899
ANXA5,BCL2L11,0.712
ANXA5,F3,0.854
ANXA5,GPNMB,0.807
ANXA5,IL6,0.75
ANXA5,ITGAM,0.796
ANXA5,PTPRC,0.781
ANXA5,PXDN,0.888
ANXA5,BNIPL,0.762
ANXA6,PRKCA,0.794
AOC3,CD69,0.769
AOC3,FCGR2A,0.725
AOC3,ITGAM,0.854
AOC3,MAOB,0.974
AOC3,PTPRC,0.878
AOX1,BCO1,0.927
AOX1,CYP26A1,0.926
AOX1,CYP26B1,0.921
AOX1,CYP2C18,0.916
AOX1,GDA,0.752
AOX1,MAOB,0.969
AOX1,MOCS1,0.962
AOX1,UGT2B15,0.941
AOX1,NNMT,0.957
AOX1,UGT2A2,0.936
AOX1,SDR16C5,0.909
APOD,C1QB,0.795
APOD,CLU,0.939
AR,ETS1,0.781
AR,FHL2,0.724
AR,FLNA,0.839
AR,FLNB,0.779
AR,IGF1,0.747
AR,PRKACB,0.938
AR,RUNX2,0.881
AR,TGFB1I1,0.942
AR,KDM4C,0.823
AR,PMEPA1,0.819
AR,ZBTB16,0.752
ARAP3,SH3KBP1,0.876
AREG,EPHA2,0.737
AREG,FGFR1,0.802
AREG,FGFR3,0.7
AREG,FLT1,0.742
AREG,HBEGF,0.785
AREG,ICAM1,0.947
AREG,KIT,0.767
AREG,NRG1,0.788
AREG,PDGFRA,0.737
AREG,PDGFRB,0.758
AREG,TEK,0.708
AREG,TGFA,0.96
AREG,NRG4,0.725
ARHGAP26,DNER,0.738
ARHGAP27,SH3KBP1,0.769
ARHGAP31,KALRN,0.877
ARHGAP31,MYLK,0.816
ARHGAP31,ZEB2,0.839
ARHGAP9,RAC2,0.7
ARHGEF2,TUBA1A,0.908
ARHGEF4,RAC2,0.941
ARL4A,CYTH3,0.721
ARL4A,ELMO1,0.773
ARPC1B,GMFG,0.927
ARPC1B,HCLS1,0.949
ARPC1B,WIPF1,0.744
ARRDC1,ITCH,0.862
ARRDC1,HECW2,0.715
ARSB,STS,0.708
ARSB,ARSG,0.94
ASAP1,RAB3IP,0.756
ASAP1,SH3KBP1,0.917
ASPH,CALML5,0.754
ASPH,FKBP1B,0.951
ASPH,JPH1,0.83
ASPH,RYR1,0.953
ASPN,COL11A1,0.814
ASPN,COL1A1,0.719
ASPN,COL1A2,0.714
ASPN,COL3A1,0.815
ASPN,FRZB,0.902
ASPN,MATN3,0.94
ASPN,OGN,0.916
ASPN,OMD,0.835
ASPN,POSTN,0.83
ASPN,THBS2,0.742
ATG10,MAP1LC3C,0.851
ATP10A,ATP11A,0.914
ATP10A,ATP8A1,0.917
ATP10A,OCA2,0.743
ATP10A,TMEM30B,0.845
ATP11A,ATP8A1,0.922
ATP11A,TMEM30B,0.882
ATP1A2,ATP1B3,0.978
ATP1A2,PLN,0.86
ATP1A2,PRKG1,0.917
ATP1A2,FXYD6,0.709
ATP1B3,PLN,0.743
ATP1B3,PRKG1,0.901
ATP1B3,SLC1A1,0.789
ATP8A1,TMEM30B,0.916
ATP8B2,TMEM30B,0.965
ATXN7,H2BC12,0.708
ATXN7,H2BC4,0.784
ATXN7,KAT2B,0.98
AVPR1A,GNA12,0.917
AXIN2,DKK1,0.864
AXIN2,FZD7,0.753
AXIN2,SFRP2,0.739
AXIN2,WIF1,0.707
AXIN2,WNT5A,0.761
AXIN2,WNT10A,0.706
AXIN2,WNT7B,0.783
AXL,GAS6,0.999
AXL,MFGE8,0.704
AXL,PIK3R1,0.89
AXL,SHC1,0.957
AXL,SHC3,0.907
AXL,PROS1,0.997
AXL,TNS2,0.91
B4GALNT3,FUT8,0.932
B4GALT6,ST3GAL5,0.951
BACE2,FYN,0.919
BAIAP2,BAIAP2L1,0.828
BAIAP2,ENAH,0.977
BAIAP2,EPS8,0.996
BAIAP2,RAC2,0.953
BAIAP2,WIPF1,0.703
BAIAP2L1,EPS8,0.78
BBOX1,MID1,0.801
BBOX1,TRIM16,0.799
BBOX1,TRIM29,0.811
BBOX1,TRIM36,0.718
BBOX1,TRIM37,0.727
BBOX1,TRIM63,0.775
BBOX1,TRIM7,0.747
BBOX1,TRIM71,0.82
BCHE,MAOB,0.809
BCL11B,PAX6,0.711
BCL11B,SMARCD3,0.919
BCL11B,TAL1,0.754
BCL11B,NR2F1,0.991
BCL2,BCL2L11,0.999
BCL2,BNIP3,0.999
BCL2,C7,0.721
BCL2,CCL3,0.753
BCL2,CCND2,0.885
BCL2,CD99L2,0.724
BCL2,CTSK,0.928
BCL2,CTSV,0.926
BCL2,CXCL12,0.727
BCL2,CXCR4,0.759
BCL2,CYBB,0.706
BCL2,FN1,0.785
BCL2,FOXO3,0.73
BCL2,GIMAP5,0.733
BCL2,GPX2,0.73
BCL2,GPX3,0.725
BCL2,IGF1,0.765
BCL2,IL6,0.868
BCL2,IL7,0.72
BCL2,IL7R,0.742
BCL2,IRS1,0.785
BCL2,KIT,0.707
BCL2,LGALS3,0.915
BCL2,LMO2,0.759
BCL2,MMP2,0.716
BCL2,NR4A1,0.999
BCL2,PECAM1,0.752
BCL2,PPARGC1A,0.744
BCL2,PRKACB,0.707
BCL2,PXDN,0.844
BCL2,RRAS,0.907
BCL2,TLR4,0.724
BCL2,BNIPL,0.852
BCL2,CTSC,0.914
BCL2,CTSZ,0.912
BCL2,HRK,0.997
BCL2,PPP2R2C,0.906
BCL2L11,FOXO3,0.984
BCL2L11,HRK,0.805
BCL2L11,RUNX3,0.712
BCL2L13,BNIP3,0.821
BCO1,SCARB1,0.797
BCO1,SDR16C5,0.923
BCO1,RBP4,0.75
BDKRB1,GNG2,0.904
BEX1,CALML5,0.748
BEX1,LDB2,0.88
BEX1,LMO2,0.895
BGN,BMP2,0.738
BGN,BMP4,0.852
BGN,COL1A1,0.974
BGN,COL1A2,0.938
BGN,COL3A1,0.89
BGN,COL4A1,0.763
BGN,COL5A1,0.774
BGN,COL6A1,0.86
BGN,COL6A2,0.816
BGN,COL6A3,0.806
BGN,COMP,0.724
BGN,DCN,0.989
BGN,EFEMP2,0.726
BGN,FBLN2,0.704
BGN,FBN1,0.784
BGN,FMOD,0.976
BGN,FN1,0.995
BGN,HSPG2,0.997
BGN,LUM,0.918
BGN,LY96,0.728
BGN,MFAP2,0.886
BGN,MMP2,0.781
BGN,NID1,0.786
BGN,PCOLCE,0.829
BGN,POSTN,0.83
BGN,SDC2,0.709
BGN,SDC4,0.732
BGN,TGFB2,0.707
BGN,TGFB3,0.81
BGN,THBS1,0.779
BGN,TLR4,0.994
BGN,VCAN,0.951
BHLHE40,BHLHE41,0.971
BHLHE40,NR1D1,0.929
BHLHE40,RORA,0.872
BHLHE40,NR1D2,0.913
BHLHE40,RORB,0.883
BHLHE41,NR1D1,0.94
BHLHE41,RORA,0.909
BHLHE41,NR1D2,0.92
BHLHE41,RORB,0.856
BHLHE41,CIART,0.735
BHMT2,CBS,0.97
BHMT2,MAT1A,0.981
BHMT2,SHMT1,0.786
BMP2,BMP4,0.97
BMP2,BMP7,0.988
BMP2,BMPER,0.895
BMP2,CCN2,0.849
BMP2,COMP,0.737
BMP2,DKK1,0.764
BMP2,ENG,0.854
BMP2,FGF18,0.801
BMP2,FGF2,0.937
BMP2,FGF5,0.762
BMP2,FGF9,0.778
BMP2,FN1,0.902
BMP2,FST,0.823
BMP2,FSTL1,0.845
BMP2,IGF1,0.784
BMP2,MGP,0.939
BMP2,MSX1,0.797
BMP2,MSX2,0.701
BMP2,RUNX2,0.982
BMP2,SMAD6,0.868
BMP2,SMAD9,0.872
BMP2,SOX9,0.816
BMP2,TGFB2,0.722
BMP2,TGFBR1,0.747
BMP2,GREM2,0.963
BMP2,TGFBR3,0.825
BMP4,BMP7,0.978
BMP4,BMPER,0.926
BMP4,CCN2,0.711
BMP4,DKK1,0.717
BMP4,FBN1,0.742
BMP4,FGF18,0.833
BMP4,FGF2,0.873
BMP4,FGF9,0.818
BMP4,FN1,0.715
BMP4,FST,0.926
BMP4,FSTL1,0.762
BMP4,MGP,0.72
BMP4,MSX1,0.91
BMP4,MSX2,0.823
BMP4,RUNX2,0.836
BMP4,SMAD6,0.728
BMP4,SMAD9,0.785
BMP4,SOX2,0.745
BMP4,SOX9,0.722
BMP4,TGFBR1,0.791
BMP4,GREM2,0.925
BMP4,TGFBR3,0.754
BMP4,PITX2,0.756
BMP4,SOSTDC1,0.757
BMP4,SOX17,0.731
BMP7,BMPER,0.835
BMP7,ENG,0.83
BMP7,FBN1,0.86
BMP7,FGF2,0.786
BMP7,FN1,0.728
BMP7,FST,0.989
BMP7,MSX2,0.734
BMP7,RUNX2,0.713
BMP7,SMAD6,0.753
BMP7,SMAD9,0.734
BMP7,TGFBR1,0.769
BMP7,GREM2,0.921
BMP7,SOSTDC1,0.705
BMPER,INHBA,0.728
BNIP3,FOXO3,0.708
BNIP3,MAP1A,0.935
BRD7,H2AC6,0.819
BRD7,H2BC10,0.811
BRD7,H2BC4,0.81
BRD7,PIK3R1,0.853
BRD7,SMARCD3,0.961
BRD7,H2BC8,0.823
BTG1,FOXO3,0.77
BTNL9,MFGE8,0.784
BTNL9,PLIN2,0.956
BTNL9,XDH,0.988
C1QA,C1QB,0.999
C1QA,C1QC,0.999
C1QA,C1R,0.988
C1QA,C1S,0.99
C1QA,C3AR1,0.837
C1QA,CD163,0.727
C1QA,CD68,0.746
C1QA,CD93,0.857
C1QA,CFB,0.795
C1QA,FCER1G,0.792
C1QA,FOLR2,0.821
C1QA,ITGAM,0.703
C1QA,ITGB2,0.736
C1QA,LAPTM5,0.702
C1QA,MRC1,0.703
C1QA,MS4A4A,0.803
C1QA,P2RY12,0.714
